id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19441210,"Charming 1,5 room apartment. With great location",35936252,Andreas,,Södermalms,59.30862,18.09129,Entire home/apt,,2,24,2023-08-21,0.29,1,0,1,
19447593,Lovely apartment in the heart of Stockholm,89579697,Sophia,,Norrmalms,59.34161,18.03119,Entire home/apt,,2,11,2023-10-23,0.13,1,0,1,
19484272,Not for rent,136064006,Johan,,Bromma,59.36077,17.90064,Shared room,4500,2,0,,,1,83,0,
19486543,Quiet and comfortable place in popular area,133326512,Lina,,Södermalms,59.31113,18.06428,Entire home/apt,,145,12,2023-08-29,0.14,1,0,5,
19494328,Cosy guesthouse,136209558,Kai,,Hässelby-Vällingby,59.3813,17.81733,Entire home/apt,1015,2,124,2024-06-22,1.60,1,323,14,
19501386,Sjönära boende nära Stockholm city,136930925,Susanne,,Skarpnäcks,59.24581,18.13705,Entire home/apt,450,7,2,2023-08-06,0.02,1,54,1,
19526935,Classic apartment in the heart of Stockholm,134915295,Adam,,Norrmalms,59.3422,18.0573,Entire home/apt,,1,10,2018-08-17,0.12,1,0,0,
19559531,"Modern apartment, close/easy to city center",51637305,Rebecka,,Bromma,59.34559,17.88315,Entire home/apt,595,1,55,2024-06-03,0.65,1,298,12,
19560352,Beautiful and spacious apartment in best location,10516558,Therese,,Östermalms,59.34087,18.06968,Entire home/apt,3500,2,42,2024-06-18,0.50,1,5,10,
19579920,"The Blue House, like countryside in the city!",137621544,Tove Och Jacob,,Enskede-Årsta-Vantörs,59.29219,18.06198,Entire home/apt,2500,5,22,2023-08-08,0.26,2,76,4,
19583721,Ideally placed apartment in the heart of Södermalm,137648124,Anders,,Södermalms,59.3145,18.07511,Entire home/apt,,3,15,2024-06-18,0.18,1,130,9,
19591550,Radhuset,137719159,Evelina,,Enskede-Årsta-Vantörs,59.26561,18.02876,Entire home/apt,2000,1,0,,,1,362,0,
19595488,Ljust trevligt rum på Kungsholmen,127066820,Caroline,,Kungsholmens,59.32787,18.01241,Private room,686,2,38,2024-06-28,1.52,1,90,17,
19597654,"Lovely house in Sthlm, near City, the Archipelago",137783145,Ann-Sofie,,Enskede-Årsta-Vantörs,59.29068,18.06388,Entire home/apt,2200,4,1,2019-07-26,0.02,1,13,0,
19600866,"3 room apartment, at Mariatorget",44328886,Sofia,,Södermalms,59.31829312792339,18.061856504817182,Entire home/apt,,4,1,2023-09-17,0.10,1,0,1,
19634096,Nytorget 50 m2 with astonishing view and privacy,53666787,Björn,,Södermalms,59.31323,18.08207,Entire home/apt,1400,3,162,2024-06-23,1.95,1,11,38,
19675032,Casa Jelena at Slussen in the heart of Stockholm,135712941,Jelena,,Södermalms,59.3183,18.07015,Entire home/apt,3000,4,29,2023-11-01,0.34,1,12,6,
19688566,Fabolous flat in the city center,138684890,Michaela,,Norrmalms,59.3463,18.05773,Entire home/apt,,5,12,2019-11-22,0.14,1,0,0,
19734813,House with pleasant garden close to Stockholm city,38623518,Arvid,,Farsta,59.27182,18.07751,Entire home/apt,1650,5,6,2023-07-27,0.07,1,0,1,
